,wide,low,wide-low,low-wide
1.5,11.912756651269731,1.7567759659040973,2.565851897055687,9.76113387792958
2.0,9.767157405886621,-0.2529773737628318,0.1897384274962306,6.887021940972389
2.5,8.294412947816205,-1.5367007280523381,-1.2690925567390607,5.602381605558023
3.3,6.434285110153773,-3.0651550543118873,-3.262189873215398,4.433945830549277
4.3,5.162992605237434,-5.10733612501609,-4.853976053232401,2.8544438981543863
5.6,3.860271205366381,-6.154451104844497,-5.822318271657856,1.6210515315311653
7.2,2.1358833023553743,-7.92688756443583,-8.322178916909778,0.015914850092755728
9.4,1.1515325661358986,-9.079722937876127,-9.153732339939069,-0.9518043721877802
12.0,-0.5972413363923863,-10.57766741174946,-10.689298666329407,-2.3110142216151957
15.5,-1.4491804510082886,-12.110049094656404,-12.032601826063399,-3.3565758322602477
20.0,-4.54471853718411,-15.649728171997722,-15.712353796478126,-6.524281397951853
26.0,-7.323158223711545,-15.782758823484315,-18.006151901999402,-7.0931364009064595
